carrier_name,unique_carrier_name,carrier,carrier_group,carreir_group_new,carrier_entity
JetBlue Airways,JetBlue Airways,B6,3,3,6673
Virgin America,Virgin America,VX,3,3,1006
Tradewind Aviation,Tradewind Aviation,04Q,1,6,1126
Aerodynamics Inc. d/b/a SkyValue d/b/a SkyValue Airways,Aerodynamics Inc. d/b/a SkyValue d/b/a SkyValue Airways,AJQ,1,5,6081
Ameristar Air Cargo,Ameristar Air Cargo,AMQ,1,4,6055
Allegiant Air,Allegiant Air,G4,3,3,6035
Avjet Corporation,Avjet Corporation,0WQ,1,1,1150
American Airlines Inc.,American Airlines Inc.,AA,3,3,0A050
Delta Air Lines Inc.,Delta Air Lines Inc.,DL,3,3,1260
Miami Air International,Miami Air International,GL,2,2,6690
United Air Lines Inc.,United Air Lines Inc.,UA,3,3,0A875
United Air Lines Inc.,United Air Lines Inc.,UA,3,3,10877
Southwest Airlines Co.,Southwest Airlines Co.,WN,3,3,6725
Southwest Airlines Co.,Southwest Airlines Co.,WN,3,3,11033
"Jet Aviation Flight Services, Inc.","Jet Aviation Flight Services, Inc.",27Q,1,1,1194
Omni Air International LLC,Omni Air International LLC,X9,2,2,16736
"Swift Air, LLC","Swift Air, LLC",09Q,1,1,1130
Kalitta Charters II,Kalitta Charters II,KLQ,1,1,6774
CFM Inc d/b/a Contour Airlines,CFM Inc d/b/a Contour Airlines,LF,1,6,1189
Sun Country Airlines d/b/a MN Airlines,Sun Country Airlines d/b/a MN Airlines,SY,2,2,6795
USA Jet Airlines Inc.,USA Jet Airlines Inc.,U7,2,2,6912
Southern Air Inc.,Southern Air Inc.,9S,2,2,6841
Alaska Airlines Inc.,Alaska Airlines Inc.,AS,3,3,6031
Trans States Airlines,Trans States Airlines,AX,1,5,6904
Peninsula Airways Inc.,Peninsula Airways Inc.,KS,1,5,6975
Great Lakes Airlines,Great Lakes Airlines,ZK,1,6,6932
Boutique Air,Boutique Air,4B,1,6,1177
GoJet Airlines LLC d/b/a United Express,GoJet Airlines LLC d/b/a United Express,G7,2,2,7041
SkyWest Airlines Inc.,SkyWest Airlines Inc.,OO,3,3,6700
Republic Airlines,Republic Airlines,YX,2,2,6003
Frontier Airlines Inc.,Frontier Airlines Inc.,F9,3,3,6460
Federal Express Corporation,Federal Express Corporation,FX,3,3,6200
Spirit Air Lines,Spirit Air Lines,NK,3,3,6830
Mesa Airlines Inc.,Mesa Airlines Inc.,YV,2,2,6689
Envoy Air,Envoy Air,MQ,3,3,6820
ExpressJet Airlines Inc.,ExpressJet Airlines Inc.,EV,3,3,6085
United Parcel Service,United Parcel Service,5X,3,3,6910
Endeavor Air Inc.,Endeavor Air Inc.,9E,2,2,7024
Compass Airlines,Compass Airlines,CP,2,2,1131
Via Airlines d/b/a Charter Air Transport,Via Airlines d/b/a Charter Air Transport,1AQ,1,6,1158
Horizon Air,Horizon Air,QX,2,2,6580
Empire Airlines Inc.,Empire Airlines Inc.,EM,1,5,6299
